Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	pLI	DSI_g	DPI_g	N_diseases	N_SNPs
ARL4D	379	P49703	ADP ribosylation factor like GTPase 4D		0.03757	0.931	0.077	5	0
ARF5	381	P84085	ADP ribosylation factor 5		0.94298	1.0	0.077	1	0
ARF6	382	P62330	ADP ribosylation factor 6		0.71536	0.631	0.577	56	0
ARG1	383	P05089	arginase 1	Enzyme	0.00035944	0.476	0.846	273	47
ARG2	384	P78540	arginase 2	Enzyme	0.00018207	0.569	0.731	103	4
RHOA	387	P61586	ras homolog family member A	Enzyme modulator	0.60405	0.502	0.808	193	16
RHOB	388	P62745	ras homolog family member B	Enzyme modulator	0.12253	0.653	0.423	41	1
RHOC	389	P08134	ras homolog family member C	Enzyme modulator	0.76766	0.641	0.308	50	3
RND3	390	P61587	Rho family GTPase 3	Enzyme modulator	0.96682	0.656	0.385	46	1
RHOG	391	P84095	ras homolog family member G	Enzyme modulator	0.42952	0.89	0.192	6	1
ARHGAP1	392	Q07960	Rho GTPase activating protein 1		0.76774	0.638	0.577	48	1
ARHGAP4	393	P98171	Rho GTPase activating protein 4	Enzyme modulator	0.97693	0.736	0.5	20	15
ARHGAP5	394	Q13017	Rho GTPase activating protein 5		0.99862	0.769	0.192	15	2
ARHGAP6	395	O43182	Rho GTPase activating protein 6	Cellular structure	0.99845	0.769	0.269	17	20
ARHGDIA	396	P52565	Rho GDP dissociation inhibitor alpha	Enzyme modulator	0.03642	0.663	0.577	51	3
ARHGDIB	397	P52566	Rho GDP dissociation inhibitor beta	Enzyme modulator	0.0006377	0.633	0.654	56	0
ARHGDIG	398	Q99819	Rho GDP dissociation inhibitor gamma	Enzyme modulator	0.92154	0.931	0.077	2	0
RHOH	399	Q15669	ras homolog family member H	Enzyme modulator	0.14861	0.666	0.462	42	1
ARL1	400	P40616	ADP ribosylation factor like GTPase 1		0.093716	1.0	0.038	1	0
PHOX2A	401	O14813	paired like homeobox 2A		0.49018	0.7	0.346	30	2
ARL2	402	P36404	ADP ribosylation factor like GTPase 2		0.021417	0.743	0.269	19	1
ARL3	403	P36405	ADP ribosylation factor like GTPase 3		0.0014071	0.603	0.615	95	4
ARNT	405	P27540	aryl hydrocarbon receptor nuclear translocator	Transcription factor	0.99581	0.575	0.692	104	12
ARNTL	406	O00327	aryl hydrocarbon receptor nuclear translocator like	Transcription factor	0.99444	0.51	0.885	200	30
ARR3	407	P36575	arrestin 3	Enzyme modulator	0.10401	0.46	0.846	279	3
ARRB1	408	P49407	arrestin beta 1	Enzyme modulator	0.99394	0.588	0.846	92	3
ARRB2	409	P32121	arrestin beta 2	Enzyme modulator	0.50658	0.561	0.769	119	6
ARSA	410	P15289	arylsulfatase A	Enzyme	1.0893e-11	0.448	0.923	376	158
ARSB	411	P15848	arylsulfatase B		7.0009e-09	0.595	0.692	96	128
STS	412	P08842	steroid sulfatase	Enzyme	0.80886	0.431	0.846	382	16
ARSC2	413		arylsulfatase C, isozyme F			1.0	0.192	1	0
ARSD	414	P51689	arylsulfatase D	Enzyme	0.0016285	0.535	0.808	163	1
ARSL	415	P51690	arylsulfatase L	Enzyme	0.58982	0.663	0.654	49	13
ARSF	416	P54793	arylsulfatase F	Enzyme	3.1126e-14	0.663	0.615	41	0
ART1	417	P52961	ADP-ribosyltransferase 1		5.1026e-12	0.7	0.385	27	0
ART3	419	Q13508	ADP-ribosyltransferase 3		5.1018e-15	0.839	0.192	11	19
ART4	420	Q93070	ADP-ribosyltransferase 4 (Dombrock blood group)		0.0015662	0.931	0.154	4	2
ARVCF	421	O00192	ARVCF delta catenin family member	Cellular structure	5.0422e-11	0.54	0.769	151	30
ARVD3	424		arrhythmogenic right ventricular dysplasia 3			0.792	0.192	9	0
ARVD4	425		arrhythmogenic right ventricular dysplasia 4			1.0	0.077	1	0
ASAH1	427	Q13510	N-acylsphingosine amidohydrolase 1	Enzyme	1.2588e-12	0.526	0.808	176	21
ASCL1	429	P50553	achaete-scute family bHLH transcription factor 1	Transcription factor	0.67692	0.552	0.692	136	2
ASCL2	430	Q99929	achaete-scute family bHLH transcription factor 2	Transcription factor	0.34557	0.691	0.423	38	1
ASD1	431		atrial septal defect 1			0.861	0.154	6	0
ASGR1	432	P07306	asialoglycoprotein receptor 1	Receptor	3.8718e-15	0.805	0.192	15	2
ASGR2	433	P07307	asialoglycoprotein receptor 2	Receptor	9.8145e-10			2	2
ASIP	434	P42127	agouti signaling protein	Signaling	0.016298	0.584	0.692	89	26
ASL	435	P04424	argininosuccinate lyase	Enzyme	8.5727e-10	0.593	0.731	99	85
ASMT	438	P46597	acetylserotonin O-methyltransferase		1.2722e-20	0.691	0.346	27	4
GET3	439	O43681	guided entry of tail-anchored proteins factor 3, ATPase	Enzyme	0.94316	1.0	0.038	1	0
ASNS	440	P08243	asparagine synthetase (glutamine-hydrolyzing)	Enzyme	9.3611e-06	0.595	0.692	90	14
ASPA	443	P45381	aspartoacylase		0.00041128	0.564	0.731	123	65
ASPH	444	Q12797	aspartate beta-hydroxylase		6.6268e-15	0.61	0.615	69	6
ASS1	445	P00966	argininosuccinate synthase 1	Enzyme	1.5095e-09	0.523	0.731	163	86
ASTN1	460	O14525	astrotactin 1		0.99998	0.736	0.308	24	9
SERPINC1	462	P01008	serpin family C member 1	Enzyme modulator	0.99892	0.507	0.769	184	46
ZFHX3	463	Q15911;Q6ZP98	zinc finger homeobox 3		0.44753	0.621	0.654	85	39
ATD	465		asphixiating thoracic dystrophy (chondroectodermal dysplasia-like syndrome)			0.656	0.731	36	0
ATF1	466	P18846	activating transcription factor 1		0.63426	0.588	0.577	88	10
ATF3	467	P18847	activating transcription factor 3	Transcription factor	0.089296	0.494	0.885	228	4
ATF4	468	P18848	activating transcription factor 4		0.015659	0.507	0.769	178	4
ATHS	470		atherosclerosis susceptibility (lipoprotein associated)			0.551	0.769	112	0
ATIC	471	P31939	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	Enzyme	3.0109e-19	0.576	0.731	100	4
ATM	472	Q13315	ATM serine/threonine kinase	Kinase	5.5884e-47	0.374	0.885	684	974
RERE	473	Q9P2R6	arginine-glutamic acid dipeptide repeats		1.0	0.526	0.846	215	48
ATOH1	474	Q92858	atonal bHLH transcription factor 1	Enzyme	0.017833	0.633	0.5	53	0
ATOX1	475	O00244	antioxidant 1 copper chaperone		0.58645	0.656	0.5	40	1
ATP1A1	476	P05023	ATPase Na+/K+ transporting subunit alpha 1	Transporter	1.0	0.601	0.808	89	12
ATP1A2	477	P50993	ATPase Na+/K+ transporting subunit alpha 2	Transporter	0.00018093	0.597	0.615	102	33
ATP1A3	478	P13637	ATPase Na+/K+ transporting subunit alpha 3	Transporter	1.0	0.544	0.615	174	61
ATP12A	479	P54707	ATPase H+/K+ transporting non-gastric alpha2 subunit	Transporter	7.1254e-14	0.575	0.769	102	4
ATP1A4	480	Q13733	ATPase Na+/K+ transporting subunit alpha 4	Transporter	2.1395e-20	0.805	0.269	8	2
ATP1B1	481	P05026	ATPase Na+/K+ transporting subunit beta 1	Transporter	0.99881	0.7	0.462	34	12
ATP1B2	482	P14415	ATPase Na+/K+ transporting subunit beta 2	Transporter	0.073684	0.705	0.308	28	4
ATP1B3	483	P54709	ATPase Na+/K+ transporting subunit beta 3	Transporter	0.10244	0.78	0.154	14	3
FXYD2	486	P54710	FXYD domain containing ion transport regulator 2	Transporter	0.11431	0.78	0.346	20	2
ATP2A1	487	O14983	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1	Transporter	1.5354e-14	0.682	0.423	46	18
ATP2A2	488	P16615	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	Transporter	0.99945	0.529	0.808	159	17
ATP2A3	489	Q93084	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	Transporter	2.247e-09	0.617	0.577	61	3
ATP2B1	490	P20020	ATPase plasma membrane Ca2+ transporting 1	Transporter	1.0	0.666	0.5	57	23
ATP2B2	491	Q01814	ATPase plasma membrane Ca2+ transporting 2	Transporter	1.0	0.659	0.731	51	13
ATP2B3	492	Q16720	ATPase plasma membrane Ca2+ transporting 3	Transporter	0.99945	0.631	0.692	72	6
ATP2B4	493	P23634	ATPase plasma membrane Ca2+ transporting 4	Transporter	0.0015112	0.659	0.577	48	31
ATP4A	495	P20648	ATPase H+/K+ transporting subunit alpha	Transporter	9.4424e-12	0.575	0.769	101	2
ATP4B	496	P51164	ATPase H+/K+ transporting subunit beta	Transporter	4.6372e-05	0.76	0.269	13	0
ATP5F1A	498	P25705	ATP synthase F1 subunit alpha	Transporter	0.99945	0.604	0.731	84	3
ALDH7A1	501	P49419	aldehyde dehydrogenase 7 family member A1	Enzyme	1.3923e-22	0.551	0.769	141	34
ATP5F1B	506	P06576	ATP synthase F1 subunit beta	Transporter	0.97679	0.626	0.654	62	2
ATP5F1C	509	P36542	ATP synthase F1 subunit gamma	Transporter	0.00079192	0.89	0.115	5	0
ATP5F1D	513	P30049	ATP synthase F1 subunit delta	Transporter	0.073813	0.674	0.5	69	2
ATP5F1E	514	P56381	ATP synthase F1 subunit epsilon	Transporter	0.0088748	0.686	0.5	37	1
ATP5MC1	516	P05496	ATP synthase membrane subunit c locus 1		0.42691	0.805	0.308	9	0
ATP5MC2	517	Q06055	ATP synthase membrane subunit c locus 2		7.4577e-06	0.861	0.192	9	4
ATP5ME	521	P56385	ATP synthase membrane subunit e	Transporter	0.085765	1.0	0.038	1	0
ATP5PF	522	P18859	ATP synthase peripheral stalk subunit F6	Transporter	0.006131	0.716	0.538	26	0
ATP6V1A	523	P38606	ATPase H+ transporting V1 subunit A	Transporter	0.86801	0.579	0.615	147	7
ATP6V1B1	525	P15313	ATPase H+ transporting V1 subunit B1	Transporter	2.3997e-09	0.695	0.346	30	15
ATP6V1B2	526	P21281	ATPase H+ transporting V1 subunit B2	Transporter	0.99154	0.606	0.577	101	5
ATP6V0C	527	P27449	ATPase H+ transporting V0 subunit c	Transporter	0.74232	0.78	0.154	18	0
ATP6V1C1	528	P21283	ATPase H+ transporting V1 subunit C1	Transporter	0.00015353	0.821	0.192	13	0
ATP6V1E1	529	P36543	ATPase H+ transporting V1 subunit E1	Transporter	0.528	0.61	0.769	105	2
ATP6V0B	533	Q99437	ATPase H+ transporting V0 subunit b	Transporter	0.96895	0.931	0.115	3	2
ATP6V1G2	534	O95670	ATPase H+ transporting V1 subunit G2	Transporter	0.0028604	0.839	0.269	7	7
ATP6V0A1	535	Q93050	ATPase H+ transporting V0 subunit a1	Transporter	0.99797	0.821	0.192	11	1
ATP6AP1	537	Q15904	ATPase H+ transporting accessory protein 1		0.99079	0.691	0.577	38	5
ATP7A	538	Q04656	ATPase copper transporting alpha	Transporter	0.99983	0.494	0.769	348	107
ATP5PO	539	P48047	ATP synthase peripheral stalk subunit OSCP		0.058145	0.861	0.192	5	0
ATP7B	540	P35670	ATPase copper transporting beta	Transporter	4.8001e-30	0.529	0.654	182	333
ATR	545	Q13535	ATR serine/threonine kinase	Kinase	3.5177e-09	0.456	0.923	321	38
ATRX	546	P46100	ATRX chromatin remodeler		1.0	0.452	0.808	412	38
KIF1A	547	Q12756	kinesin family member 1A	Cellular structure	1.0	0.559	0.692	187	45
AUH	549	Q13825	AU RNA binding methylglutaconyl-CoA hydratase	Enzyme	8.024e-06	0.686	0.346	42	7
AVP	551	P01185	arginine vasopressin	Signaling	0.074413	0.437	0.846	454	27
AVPR1A	552	P37288	arginine vasopressin receptor 1A	G-protein coupled receptor	6.8987e-07	0.663	0.5	51	9
AVPR1B	553	P47901	arginine vasopressin receptor 1B	G-protein coupled receptor	0.00037047	0.705	0.385	29	6
AVPR2	554	P30518	arginine vasopressin receptor 2	G-protein coupled receptor	0.55589	0.568	0.769	134	38
AXL	558	P30530	AXL receptor tyrosine kinase	Kinase	0.012951	0.489	0.615	203	6
AZF1	560		azoospermia factor 1			0.711	0.269	22	0
AZGP1	563	P25311	alpha-2-glycoprotein 1, zinc-binding		4.1545e-06	0.566	0.769	101	4
AZU1	566	P20160	azurocidin 1	Enzyme	3.9068e-05	0.636	0.692	56	0
B2M	567	P61769	beta-2-microglobulin	Immune response	0.56167	0.447	0.846	352	6
BAAT	570	Q14032	bile acid-CoA:amino acid N-acyltransferase		7.8651e-08	0.578	0.654	98	3
BACH1	571	O14867	BTB domain and CNC homolog 1		0.57072	0.585	0.731	86	24
BAD	572	Q92934	BCL2 associated agonist of cell death		0.0046237	0.553	0.769	125	2
BAG1	573	Q99933	BAG cochaperone 1		6.5264e-06	0.538	0.769	128	9
BAGE	574	Q13072	B melanoma antigen			0.711	0.346	27	0
ADGRB1	575	O14514	adhesion G protein-coupled receptor B1	G-protein coupled receptor	1.0	0.695	0.231	34	2
ADGRB2	576	O60241	adhesion G protein-coupled receptor B2	G-protein coupled receptor	0.99982	0.89	0.192	13	2
ADGRB3	577	O60242	adhesion G protein-coupled receptor B3	G-protein coupled receptor	1.0	0.736	0.192	26	8
BAK1	578	Q16611	BCL2 antagonist/killer 1	Signaling	7.4028e-06	0.555	0.769	115	11
NKX3-2	579	P78367	NK3 homeobox 2	Transcription factor	0.63821	0.736	0.308	31	4
BARD1	580	Q99728	BRCA1 associated RING domain 1		1.3777e-24	0.597	0.538	75	176
BAX	581	Q07812	BCL2 associated X, apoptosis regulator	Signaling	0.31746	0.417	0.885	420	9
BBS1	582	Q8NFJ9	Bardet-Biedl syndrome 1		3.4063e-12	0.593	0.692	111	70
BBS2	583	Q9BXC9	Bardet-Biedl syndrome 2		1.0328e-17	0.565	0.654	128	60
BBS4	585	Q96RK4	Bardet-Biedl syndrome 4		1.4549e-16	0.647	0.615	63	27
BCAT1	586	P54687	branched chain amino acid transaminase 1	Enzyme	3.7984e-08	0.606	0.538	62	3
BCAT2	587	O15382	branched chain amino acid transaminase 2	Enzyme	2.826e-12	0.686	0.385	30	2
BCHE	590	P06276	butyrylcholinesterase		1.0643e-13	0.447	0.923	392	101
BCKDHA	593	P12694	branched chain keto acid dehydrogenase E1 subunit alpha		9.8243e-09	0.695	0.423	45	51
BCKDHB	594	P21953	branched chain keto acid dehydrogenase E1 subunit beta	Enzyme	4.3112e-09	0.682	0.5	50	79
CCND1	595	P24385	cyclin D1	Enzyme modulator	0.89057	0.344	0.923	859	12
BCL2	596	P10415	BCL2 apoptosis regulator	Signaling	0.55903	0.291	0.885	1456	27
BCL2A1	597	Q16548	BCL2 related protein A1	Signaling	0.20785	0.529	0.731	150	1
BCL2L1	598	Q07817	BCL2 like 1	Signaling	0.93667	0.493	0.885	212	8
BCL2L2	599	Q92843	BCL2 like 2	Signaling	0.46908	0.599	0.615	66	3
BCL3	602	P20749	BCL3 transcription coactivator		0.98871	0.541	0.731	136	11
BCL5	603		B cell CLL/lymphoma 5			0.89	0.154	3	0
BCL6	604	P41182	BCL6 transcription repressor		0.96038	0.444	0.808	309	3
BCL7A	605	Q4VC05	BAF chromatin remodeling complex subunit BCL7A		0.07823	0.736	0.385	23	4
NBEAP1	606	P0C6P0	neurobeachin pseudogene 1			0.861	0.154	5	0
BCL9	607	O00512	BCL9 transcription coactivator		0.49607	0.595	0.615	74	12
TNFRSF17	608	Q02223	TNF receptor superfamily member 17	Receptor	1.3715e-06	0.588	0.692	81	1
HCN2	610	Q9UL51	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	Ion channel	0.48885	0.653	0.385	46	2
OPN1SW	611	P03999	opsin 1, short wave sensitive	G-protein coupled receptor	0.021134	0.519	0.769	164	6
BCR	613	P11274	BCR activator of RhoGEF and GTPase	Enzyme modulator	0.98761	0.431	0.885	392	7
BCRP4	616		BCR pseudogene 4			0.805	0.154	9	0
BCS1L	617	Q9Y276	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone		4.6972e-13	0.534	0.808	172	46
BCYRN1	618		brain cytoplasmic RNA 1			0.666	0.423	38	0
BDH1	622	Q02338	3-hydroxybutyrate dehydrogenase 1	Enzyme	7.5703e-08	0.729	0.423	23	1
BDKRB1	623	P46663	bradykinin receptor B1	G-protein coupled receptor	0.0046897	0.619	0.731	79	2
BDKRB2	624	P30411	bradykinin receptor B2	G-protein coupled receptor	0.11863	0.585	0.808	105	7
BDNF	627	P23560	brain derived neurotrophic factor	Signaling	0.65626	0.345	0.923	992	56
CFB	629	P00751	complement factor B		4.6696e-16	0.532	0.769	139	24
BFSP1	631	Q12934	beaded filament structural protein 1		1.8463e-07	0.729	0.231	16	1
BGLAP	632	P02818	bone gamma-carboxyglutamate protein		4.6155e-08	0.462	0.846	274	2
BGN	633	P21810	biglycan		0.45229	0.484	0.808	253	7
CEACAM1	634	P13688	CEA cell adhesion molecule 1		0.00078816	0.525	0.731	167	0
BHMT	635	Q93088	betaine--homocysteine S-methyltransferase		3.739e-14	0.595	0.731	71	8
BICD1	636	Q96G01	BICD cargo adaptor 1		1.5724e-05	0.821	0.231	8	5
BID	637	P55957	BH3 interacting domain death agonist		1.5646e-11	0.555	0.808	117	5
BIK	638	Q13323	BCL2 interacting killer		5.0334e-06	0.653	0.462	48	5
PRDM1	639	O75626	PR/SET domain 1		0.9565	0.538	0.731	126	8
BLK	640	P51451	BLK proto-oncogene, Src family tyrosine kinase	Kinase	8.348e-14	0.585	0.769	86	57
BLM	641	P54132	BLM RecQ like helicase		1.5376e-15	0.535	0.808	158	139
BLMH	642	Q13867	bleomycin hydrolase	Enzyme	0.12878	0.716	0.423	22	2
CXCR5	643	P32302	C-X-C motif chemokine receptor 5	G-protein coupled receptor	0.72861	0.524	0.769	146	7
BLVRA	644	P53004	biliverdin reductase A	Enzyme	0.00034786	0.663	0.423	34	5
BLVRB	645	P30043	biliverdin reductase B	Enzyme	4.1869e-06	0.695	0.423	31	2
BNC1	646	Q01954	basonuclin 1	Nucleic acid binding	0.96479	0.736	0.423	21	0
BMI1	648	P35226	BMI1 proto-oncogene, polycomb ring finger		0.94286	0.448	0.808	309	0
BMP1	649	P13497	bone morphogenetic protein 1		0.00088564	0.554	0.769	121	17
BMP2	650	P12643	bone morphogenetic protein 2	Signaling	0.98799	0.432	0.846	428	12
BMP3	651	P12645	bone morphogenetic protein 3	Signaling	0.056398	0.678	0.423	32	2
BMP4	652	P12644	bone morphogenetic protein 4	Signaling	0.9564	0.422	0.808	423	21
BMP5	653	P22003	bone morphogenetic protein 5	Signaling	0.00090084	0.653	0.577	43	3
BMP6	654	P22004	bone morphogenetic protein 6	Signaling	0.75947	0.531	0.808	137	10
BMP7	655	P18075	bone morphogenetic protein 7	Signaling	0.12727	0.498	0.769	197	3
BMP8B	656	P34820	bone morphogenetic protein 8b	Signaling	0.0001897	0.792	0.192	12	1
BMPR1A	657	P36894	bone morphogenetic protein receptor type 1A	Kinase	0.90333	0.522	0.731	203	102
BMPR1B	658	O00238	bone morphogenetic protein receptor type 1B	Kinase	0.99863	0.573	0.615	145	22
BMPR2	659	Q13873	bone morphogenetic protein receptor type 2	Kinase	0.99998	0.538	0.654	146	329
BMX	660	P51813	BMX non-receptor tyrosine kinase	Kinase	0.006673	0.663	0.385	38	3
POLR3D	661	P05423	RNA polymerase III subunit D	Enzyme	3.8286e-11			1	0
BNIP1	662	Q12981	BCL2 interacting protein 1		9.678e-07	0.792	0.346	11	12
BNIP2	663	Q12982	BCL2 interacting protein 2		6.4641e-05	0.861	0.115	4	0
BNIP3	664	Q12983	BCL2 interacting protein 3		1.9687e-05	0.52	0.731	158	0
BNIP3L	665	O60238	BCL2 interacting protein 3 like		0.15274	0.636	0.654	63	10
BOK	666	Q9UMX3	BCL2 family apoptosis regulator BOK	Signaling	0.16279	0.722	0.346	27	4
DST	667	Q03001	dystonin	Cellular structure	1.0	0.552	0.846	147	19
FOXL2	668	P58012	forkhead box L2	Transcription factor	0.87762	0.542	0.692	137	102
BPGM	669	P07738	bisphosphoglycerate mutase		0.021313	0.821	0.154	10	3
BPHL	670	Q86W56;Q86WA6	biphenyl hydrolase like		4.5804e-07	0.722	0.231	22	0
BPI	671	P17213	bactericidal permeability increasing protein		1.6514e-14	0.61	0.769	83	6
BRCA1	672	P38398	BRCA1 DNA repair associated	Enzyme	9.2157e-29	0.367	0.923	747	2600
BRAF	673	P15056	B-Raf proto-oncogene, serine/threonine kinase	Kinase	0.99995	0.319	0.846	1228	107
BRCA2	675	P51587	BRCA2 DNA repair associated	Nucleic acid binding	2.3581e-25	0.379	0.846	656	3066
BRDT	676	Q58F21	bromodomain testis associated	Epigenetic regulator	5.7616e-09	0.751	0.231	17	3
ZFP36L1	677	Q07352	ZFP36 ring finger protein like 1	Nucleic acid binding	0.67406	0.659	0.5	43	8
ZFP36L2	678	P47974	ZFP36 ring finger protein like 2	Nucleic acid binding	0.966	0.686	0.5	34	1
BRS3	680	P32247	bombesin receptor subtype 3	G-protein coupled receptor	0.94849	0.474	0.846	261	1
BSG	682	P35613	basigin (Ok blood group)		2.5873e-05	0.458	0.769	287	4
BST1	683	Q10588	bone marrow stromal cell antigen 1	Enzyme	4.2099e-11	0.67	0.423	41	14
BST2	684	Q10589	bone marrow stromal cell antigen 2		0.00042516	0.57	0.769	95	4
BTC	685	P35070	betacellulin	Signaling	0.062276	0.644	0.577	51	6
BTD	686	P43251	biotinidase	Enzyme	1.4972e-07	0.628	0.654	90	192
KLF9	687	Q13886	Kruppel like factor 9	Nucleic acid binding	0.88783	0.595	0.577	77	7
KLF5	688	Q13887	Kruppel like factor 5	Nucleic acid binding	0.8181	0.534	0.769	143	6
BTF3	689	P20290	basic transcription factor 3		0.75624	0.674	0.577	34	0
BTF3P11	690		basic transcription factor 3 pseudogene 11			0.519	0.731	154	0
BTG1	694	P62324	BTG anti-proliferation factor 1		0.53641	0.564	0.692	98	2
BTK	695	Q06187	Bruton tyrosine kinase	Kinase	0.99996	0.464	0.808	290	85
BTN1A1	696	Q13410	butyrophilin subfamily 1 member A1	Enzyme modulator	1.9496e-08	0.839	0.346	9	3
BUB1	699	O43683	BUB1 mitotic checkpoint serine/threonine kinase	Kinase	4.8813e-09	0.528	0.731	162	6
BVR1	700		Burkitt lymphoma variant rearranging region 1			1.0	0.154	1	0
BUB1B	701	O60566	BUB1 mitotic checkpoint serine/threonine kinase B	Kinase	6.998e-10	0.502	0.808	231	21
BYSL	705	Q13895	bystin like		9.9642e-05	0.821	0.231	10	6
TSPO	706	P30536	translocator protein		0.00027398	0.444	0.885	341	3
C1QBP	708	Q07021	complement C1q binding protein		2.0164e-07	0.569	0.692	111	9
SERPING1	710	P05155	serpin family G member 1	Enzyme modulator	0.96351	0.507	0.769	207	43
C1QA	712	P02745	complement C1q A chain		0.0038204	0.623	0.654	88	5
C1QB	713	P02746	complement C1q B chain		0.15392	0.711	0.538	24	8
C1QC	714	P02747	complement C1q C chain		0.048591	0.751	0.423	19	7
C1R	715	P00736	complement C1r	Enzyme	0.77888	0.638	0.654	96	18
C1S	716	P09871	complement C1s	Enzyme	0.00067654	0.705	0.462	43	10
C2	717	P06681	complement C2		1.3494e-16	0.617	0.692	71	39
C3	718	P01024	complement C3	Enzyme modulator	0.90421	0.445	0.885	343	49
C3AR1	719	Q16581	complement C3a receptor 1	G-protein coupled receptor	3.3053e-09	0.601	0.731	73	2
C4A	720	P0C0L4;P0C0L5	complement C4A (Rodgers blood group)	Enzyme modulator	1.5416e-11	0.563	0.769	145	2
C4B	721	P0C0L4;P0C0L5	complement C4B (Chido blood group)	Enzyme modulator	0.83464	0.603	0.808	66	2
C4BPA	722	P04003	complement component 4 binding protein alpha		0.45739	0.556	0.846	107	6
C4BPB	725	P20851	complement component 4 binding protein beta		4.3958e-05	0.678	0.692	30	0
CAPN5	726	O15484	calpain 5	Enzyme	2.5197e-08	0.663	0.615	46	10
C5	727	P01031	complement C5	Enzyme modulator	8.079e-24	0.55	0.731	129	20
C5AR1	728	P21730	complement C5a receptor 1	G-protein coupled receptor	0.40249	0.513	0.808	179	2
C6	729	P13671	complement C6		5.8646e-22	0.7	0.615	29	6
C7	730	P10643	complement C7		1.0747e-14	0.751	0.423	16	11
C8A	731	P07357	complement C8 alpha chain		6.5536e-16	0.821	0.192	12	3
C8B	732	P07358	complement C8 beta chain		2.3057e-19	0.76	0.269	17	16
C8G	733	P07360	complement C8 gamma chain		2.6521e-17	1.0	0.077	3	2
C9	735	P02748	complement C9		1.6323e-24	0.619	0.692	62	32
VPS51	738	Q9UID3	VPS51 subunit of GARP complex		1.052e-08	0.452	0.846	292	0
MRPL49	740	Q13405	mitochondrial ribosomal protein L49	Nucleic acid binding	0.00031078	0.89	0.115	3	0
ZNHIT2	741	Q9UHR6	zinc finger HIT-type containing 2	Transcription factor	2.2483e-05	0.805	0.115	7	0
MPPED2	744	Q15777	metallophosphoesterase domain containing 2	Enzyme	0.99349	0.78	0.385	20	9
MYRF	745	Q9Y2G1	myelin regulatory factor		1.0	0.584	0.731	102	44
TMEM258	746	P61165	transmembrane protein 258		0.0018504	0.644	0.654	63	37
